diag_type,time_point,feature_type,rank,feature
oral_pharynx_cancer,5,blood,38,blood_Mean corpuscular haemoglobin concentration
oral_pharynx_cancer,5,blood,39,blood_Mean platelet (thrombocyte) volume
oral_pharynx_cancer,5,blood,40,blood_Mean reticulocyte volume
oral_pharynx_cancer,5,blood,41,blood_Mean sphered cell volume
oral_pharynx_cancer,5,blood,42,blood_Monocyte count
oral_pharynx_cancer,5,blood,43,blood_Neutrophill count
oral_pharynx_cancer,5,blood,44,blood_Nucleated red blood cell count
oral_pharynx_cancer,5,blood,45,blood_Nucleated red blood cell percentage
oral_pharynx_cancer,5,blood,46,blood_Platelet distribution width
oral_pharynx_cancer,5,blood,47,blood_Red blood cell (erythrocyte) count
oral_pharynx_cancer,5,blood,48,blood_Red blood cell (erythrocyte) distribution width
oral_pharynx_cancer,5,blood,49,blood_Aspartate aminotransferase
oral_pharynx_cancer,5,blood,50,blood_Reticulocyte count
oral_pharynx_cancer,5,combined,1,olink_il20ra
oral_pharynx_cancer,5,combined,2,blood_Neutrophill percentage
oral_pharynx_cancer,5,combined,3,olink_icam5
oral_pharynx_cancer,5,combined,4,olink_rgl2
oral_pharynx_cancer,5,combined,5,olink_fstl1
oral_pharynx_cancer,5,combined,6,olink_guca2a
oral_pharynx_cancer,5,combined,7,olink_atp6v1d
oral_pharynx_cancer,5,combined,8,olink_tpp1
oral_pharynx_cancer,5,combined,9,olink_plxdc1
oral_pharynx_cancer,5,combined,10,olink_ube2b
oral_pharynx_cancer,5,combined,11,olink_gdf15
oral_pharynx_cancer,5,combined,12,blood_Platelet count
oral_pharynx_cancer,5,combined,13,olink_chrdl1
oral_pharynx_cancer,5,combined,14,olink_serpinf1
oral_pharynx_cancer,5,combined,15,olink_ctsh
oral_pharynx_cancer,5,combined,16,olink_pla2g1b
oral_pharynx_cancer,5,combined,17,olink_casp8
oral_pharynx_cancer,5,combined,18,olink_mybpc2
oral_pharynx_cancer,5,combined,19,olink_ece1
oral_pharynx_cancer,5,combined,20,olink_dda1
oral_pharynx_cancer,5,combined,21,olink_pla2g2a
oral_pharynx_cancer,5,combined,22,olink_axl
oral_pharynx_cancer,5,combined,23,olink_notch3
oral_pharynx_cancer,5,combined,24,olink_chl1
oral_pharynx_cancer,5,combined,25,olink_mmp12
oral_pharynx_cancer,5,combined,26,olink_spink5
oral_pharynx_cancer,5,combined,27,olink_prnd
oral_pharynx_cancer,5,combined,28,olink_rnase10
oral_pharynx_cancer,5,combined,29,olink_alpp
oral_pharynx_cancer,5,combined,30,olink_tnfrsf6b
oral_pharynx_cancer,5,combined,31,olink_shmt1
oral_pharynx_cancer,5,combined,32,olink_serpina12
oral_pharynx_cancer,5,combined,33,olink_fut3_fut5
oral_pharynx_cancer,5,combined,34,olink_il1rn
oral_pharynx_cancer,5,combined,35,olink_mb
oral_pharynx_cancer,5,combined,36,olink_psme1
oral_pharynx_cancer,5,combined,37,olink_edn1
oral_pharynx_cancer,5,combined,38,blood_Basophill percentage
oral_pharynx_cancer,5,combined,39,olink_gal
oral_pharynx_cancer,5,combined,40,olink_cd274
oral_pharynx_cancer,5,combined,41,olink_fgf5
oral_pharynx_cancer,5,combined,42,olink_spink4
oral_pharynx_cancer,5,combined,43,olink_gipc2
oral_pharynx_cancer,5,combined,44,blood_Monocyte percentage
oral_pharynx_cancer,5,combined,45,olink_il6st
oral_pharynx_cancer,5,combined,46,olink_gip
oral_pharynx_cancer,5,combined,47,olink_msmb
oral_pharynx_cancer,5,combined,48,blood_Urea
oral_pharynx_cancer,5,combined,49,olink_prss8
oral_pharynx_cancer,5,combined,50,olink_cfhr5
oral_pharynx_cancer,10,protein,1,olink_akt3
oral_pharynx_cancer,10,protein,2,olink_rarres1
oral_pharynx_cancer,10,protein,3,olink_pigr
oral_pharynx_cancer,10,protein,4,olink_tnf
oral_pharynx_cancer,10,protein,5,olink_gnpda2
oral_pharynx_cancer,10,protein,6,olink_gcg
oral_pharynx_cancer,10,protein,7,olink_psapl1
oral_pharynx_cancer,10,protein,8,olink_lect2
oral_pharynx_cancer,10,protein,9,olink_ceacam16
oral_pharynx_cancer,10,protein,10,olink_fgfbp1
oral_pharynx_cancer,10,protein,11,olink_hspg2
oral_pharynx_cancer,10,protein,12,olink_gask1a
oral_pharynx_cancer,10,protein,13,olink_hmox1
oral_pharynx_cancer,10,protein,14,olink_top1mt
oral_pharynx_cancer,10,protein,15,olink_tnfrsf10b
oral_pharynx_cancer,10,protein,16,olink_il18
oral_pharynx_cancer,10,protein,17,olink_pcare
oral_pharynx_cancer,10,protein,18,olink_gstp1
oral_pharynx_cancer,10,protein,19,olink_dcbld2
oral_pharynx_cancer,10,protein,20,olink_inpp5j
oral_pharynx_cancer,10,protein,21,olink_arsa
oral_pharynx_cancer,10,protein,22,olink_tmed10
oral_pharynx_cancer,10,protein,23,olink_edil3
oral_pharynx_cancer,10,protein,24,olink_bmp10
oral_pharynx_cancer,10,protein,25,olink_trim5
oral_pharynx_cancer,10,protein,26,olink_lamp1
oral_pharynx_cancer,10,protein,27,olink_muc2
oral_pharynx_cancer,10,protein,28,olink_snx5
oral_pharynx_cancer,10,protein,29,olink_steap4
oral_pharynx_cancer,10,protein,30,olink_gusb
oral_pharynx_cancer,10,protein,31,olink_sprr1b
oral_pharynx_cancer,10,protein,32,olink_igfbp3
oral_pharynx_cancer,10,protein,33,olink_grn
oral_pharynx_cancer,10,protein,34,olink_ptx3
oral_pharynx_cancer,10,protein,35,olink_alpi
oral_pharynx_cancer,10,protein,36,olink_tmprss15
oral_pharynx_cancer,10,protein,37,olink_usp47
oral_pharynx_cancer,10,protein,38,olink_csf2ra
oral_pharynx_cancer,10,protein,39,olink_trim58
oral_pharynx_cancer,10,protein,40,olink_lhb
oral_pharynx_cancer,10,protein,41,olink_gpd1
